tweet,,,,,,,
,,,,,,,
,,,,,,,
Day 6/7: Swab testing not yet done at @LemonTreeHotels despite being promised. This is frustrating and demoralizing. Taj West End facility got results today. Is this a set-up to make us extend stay? I hope NOT! @Comm_dhfwka @BBMP_MAYOR @CPBlr #BBMP @BangaloreMirror @TOIBengaluru,,,,,,,
"#BBMP #Bengaluru #mask #letsmaskbengaluru
06-08-2020,ಗಣೇಶ ಹಬ್ಬ: ಸಾರ್ವಜನಿಕ ಆಚರಣೆಗೆ ಬ್ರೇಕ್; ನಿಯಮ ಮೀರಿ ಸಂಭ್ರಮಿಸಿದ್ರೆ ಕೇಸ್‌!",,,,,,,
,,,,,,,
House next door is making high decibels sound of fabrications and alterations in his building.  Where can make a complaint? Need advise.  @BBMP_MAYOR @BBMPCOMM @NammaKarnataka_ #BBMP #Halasuru #Indiranagar #lakshmipuram,,,,,,,
"ದಕ್ಷಿಣ ವಲಯ ವ್ಯಾಪ್ತಿ 05-08-2020
🔹 😷 ಮಾಸ್ಕ್ ಧರಿಸದ ಪ್ರಕರಣಗಳು - 376
🔹 ↔️ ಸಾಮಾಜಿಕ ಅಂತರ ಉಲ್ಲಂಘನೆ  ಪ್ರಕರಣಗಳು - 97
🔹🚮 SWM ಪ್ರಕರಣಗಳು - 5
🔹💰 ಒಟ್ಟು ದಂಡ - ರೂ 97,400
ನಿಯಮಗಳನ್ನು ಪಾಲಿಸಿ. ಸೋಂಕು ಹರಡದಂತೆ ಎಚ್ಚರ ವಹಿಸಿ !
06-08-2020,Measures to be taken by care givers for those #COVID19 patients in home isolation.",,,,,,,
,,,,,,,
"ಬೆಂಗಳೂರು: ಹಸಿ ಕಸ ಸಂಗ್ರಹಕ್ಕೆ ಟೆಂಡರ್‌ ಅನಿವಾರ್ಯ
06-08-2020,ಬೆಂಗಳೂರಲ್ಲಿ ಕ್ವಾರಂಟೈನ್‌ ನಿಯಮ ಉಲ್ಲಂಘನೆ: 770 ಜನರ ವಿರುದ್ಧ ಎಫ್‌ಐಆರ್‌",,,,,,,
"ಬೆಂಗಳೂರು: ಕೊರೋನಾ ಆತಂಕದ ನಡೆವೆಯೂ 1776 ಕೋಟಿ ಆಸ್ತಿ ತೆರಿಗೆ ಸಂಗ್ರಹ
06-08-2020,Dear doctor",  {we} at #BBMP," are busy either banging tin sheets on doors or erecting """"prison like"""" fences around the home gates...",,,,,
 are not relevant to us... Bye bye..,,,,,,,
 by the way, if we get any complaints," we will """"take care"""" of you"," """"properly""""... 😉😉""",,,,
"Boss, if possible, please be specific wrt to the name of the hospital, duration and the excess billing details and which #bbmp zone the hospital exists! 
The GoK has nominated 8 IAS officers for each zone and they will be happy to help you..
Cc @D_Roopa_IPS @Captain_Mani72",,,,,,,
"The #Rules are same for #all. #BBMP officials pasted #Quarantine notice on the Gates of the #chiefminister @BSYBJP residence. Others who oppose the #posters should learn from @CMofKarnataka. @BBMPCOMM
@BBMP_MAYOR
@Home_Quarantine @askbhaskar pic.twitter.com/pC76RpjPdo",,,,,,,
@MoreMegastore - why alternate tills are not openned social distancing is being violated #BBMP  pic.twitter.com/3rlKdKrvUO – at More Megastore,,,,,,,
"Wait what???
@Captain_Mani72 says only two categories however #bbmp notification says (ಇತರರು),
Should I go back to #Kannada 101?
Boy, the only strength I had was #Kannada, now don't tell me, I'm illiterate! 😢",,,,,,,
"ಬೆಂಗಳೂರಿನಾದ್ಯಂತ #COVID19 ಆಸ್ಪತ್ರೆಯ ಲಭ್ಯತೆಯನ್ನು ಪತ್ತೆಹಚ್ಚಲು ಕೆಳಗಿನ #BBMP ಜಾಲತಾಣ ಬಳಸಿ.ಆ ಸಮಯದ ಸ್ಥಿತಿ ಇದರಲ್ಲಿ ತಿಳಿಯುತ್ತದೆ,ಸಣ್ಣ ವಿಳಂಬ,ದೋಷಗಳು ಇರಬಹುದು ಆದರೆ ನಿಮ್ಮ ಮನೆಗೆ ಹತ್ತಿರವಿರುವ ಕೋವಿದ್ ಚಿಕಿತ್ಸಾ ಆಸ್ಪತ್ರೆ, ಅಲ್ಲಿನ ಹಾಸಿಗೆಯ ಲಭ್ಯತೆಯ ಬಗ್ಗೆ ಅಧಿಕೃತ ಮಾಹಿತಿ ದೊರೆಯುತ್ತದೆ.
 https://apps.bbmpgov.in/covidbedstatus/  – at ICICI Bank",,,,,,,
"#bbmp
@BBMP_MAYOR @BBMPCOMM
Wonder why we pay taxes at all ☹️
The state of this stretch of Bellandur main road (near Ramdev Medicals) has been constantly deteriorating over last one year. Can you figure out where the road was? Please HELP!! pic.twitter.com/axMUOZS2IV – at Ramdev medicals",,,,,,,
"ಸಿಲ್ವರ್ ಕೌಂಟಿ ರಸ್ತೆ ಗಳಲ್ಲಿನ ಕಸ,ರಸ್ತೆ,ರಸ್ತೆ ದೀಪ,ಒಳ ಚರಂಡಿ ವ್ಯವಸ್ತೆಯನ್ನು ಕೂಡಲೆ ಸರಿಪಡಿಸಿ.ಇಲ್ಲಿ ವಾಸಿಸುವ,ಸಂಚರಿಸುವ ಪ್ರಜೆಗಳಿಗೆ ನರಕಾನುಭವ ಕಲ್ಪಿಸಿರುವ ಕಾರ್ಪೊರೇಟರ್ ಹಾಗೂ ಬಿಬಿಎಂಪಿ ತಂಡಕ್ಕೆ ಹೃದಯಪೂರ್ವಕ ವಂದನೆಗಳು.#BBMP ಚುನಾವಣೆ ಹತ್ತಿರದಲ್ಲಿದೆ ಅದಕ್ಕಾದರು ಸ್ವಲ್ಪ ಇಲ್ಲಿ ಗಮನಿಸಿ! @BBMPCOMM @msrbommanahalli pic.twitter.com/FXVcBaSwJL – at Silver Pearl Apartment",,,,,,,
"Let us join together and extend our helping hand to overcome #COVID19
@finmatrixSC https://twitter.com/blrcitytraffic/status/1289062541876846592 … – at Founders Cube Cowork and Incubation Centre",,,,,,,
"When intent is missing,the notifications won't matter & neither does life.
There is enough material available with #BBMP on loss of revenue,dangers of lack of info highway Infra in Silicon city of India #Bengaluru.
@BBMPCOMM act pls!
@Secretary_MoHUA @UDDKarnataka @DGCOAI @csogok pic.twitter.com/f7BHiJAEKe – at Med Plus",,,,,,,
"I agree, I see wires everywhere,  @ACTFibernet @HathwayBrdband all across the city, and if we tell bbmp/bescom they say it's not ours #BBMP #bescom @BBMPCOMM @BBMP_MAYOR",,,,,,,
#BBMP #Bengaluru pic.twitter.com/layDtmHfki,,,,,,,
"@BBMPSWMSplComm
Dear Sir,
Writing this on behalf of a friend.
The space outside the house has become a dumping spot. People throw their waste and openly defecate every day. Multiple complaints has been raised on portal but all were closed without resolvin",,,,,,,
"#Fighting #within @narendramodi @PMOIndia sir #bbmp has given up @ #Bengaluru either the door is locked with metalsheets or association struggle 2 have apartment sanitize In 10 days 2nd covid infection identified at SRKG kudlu yet2hear from BBMP 
28-07-2020,Seriously #bbmp @BBMPCOMM ~ guys", what's going on???,,,,,,
" either you are busy in meetings or give us free pravachanS https://twitter.com/BangaloreMirror/status/1287923267517505540 …""",,,,,,,
"ಬೆಂಗಳೂರ ವಾಸಿಗಳಿಗೆ ಉಚಿತ ಕೊರೊನ ಸೋಂಕಿನ ಪರೀಕ್ಷೆ ✌️
ಪರೀಕ್ಷೆಗೆ ಬರುವಾಗ ತಪ್ಪದೆ ನಿಮ್ಮ ಆಧಾರ್ / ಇತರೆ ಗುರುತಿನ ಚೀಟಿ ತನ್ನಿ 
27-07-2020,#Bengaluru RT Nagar ~ #BBMP PARK...",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Let's move the 'big guy' to another zone, then you will see #bbmp full active in new zone...
😉",,,,,,,
"#BBMP #Blrcitypolice #bengalurumirror
There was one covid +ve patient in my next door apartment due to which my flat was also sealed for 14 days quarantine. The Apartment assoc has not done anything to help the affected people and my garbage for last 3-4 days in lying outside.",,,,,,,
"#ihaveajoke on #BBMP, honestLY",,,,,,,
"I have booked the Choultry in Bangalore, because of covid-19, I have paid 1.2 lcs,  I have asked choultry owner to cancel the booking & refund the money, but choultry owner is denied to return the money, kindly help #BBMP #Police #karnatakapolice #commissner #ConsumerRights",,,,,,,
ರಾಜ್ಯ ರಾಜಧಾನಿಯಲ್ಲಿ ದಿನೇ ದಿನೇ ಕೋರೋಣ ಸೋಂಕಿತರ ಸಂಖ್ಯೆ ಹೆಚ್ಚುತ್ತಿರುವ ಹಿನ್ನೆಲೆ ಸೋಂಕಿನ ಬಗ್ಗೆ ಸಾರ್ವಜನಿಕರಲ್ಲಿ ಅರಿವು ಮೂಡಿಸುವ ಸದ್ದುದ್ದೇಶದಿಂದ #bbmp #covid19 ನಿಯಂತ್ರಣ ರಾಯಭಾರಿಯನ್ನಾಗಿ ಹಿರಿಯ ನಟ #ramesharavind ಅವರನ್ನು ನೇಮಕ…  https://www.instagram.com/p/CDBuRyLgLrP/?igshid=wjfmdizyw03o …,,,,,,,
"As many as 4,500 #COVID19 +ve patients R on the run in #Bengaluru after giving false mobile numbers. #BBMP ropes in DCPs to track these missing patients.  https://bit.ly/30LYjvo  @DeccanHerald @BSYBJP #CoronaVirus #CovidTesting",,,,,,,
Work at India’s largest #Covid19 Care Centre #CCC on #BIEC premises ‘halted’ temporarily due to tug-of-war b/w contractors & #BBMP over procurement price of essential items.  https://bit.ly/2OTVjHQ  @DeccanHerald @BSYBJP #coronavirus #Health,,,,,,,
"@BBMPCOMM and @BBMP_MAYOR why aren’t the roads behind fixed? Incase of emergency the patient might not survive the bumpy ride! 
Fix the roads!!!!  #bbmp #badroads @NammaWhitefield @WFRising @kdevforum https://twitter.com/kdevforum/status/12865212611542",,,,,,,
In our Apt block #BBMP never turned up. So NO Tracking or Tracing. All procedures as per SOP done by the Managing Committee @BBMPCOMM. https://twitter.com/satishs/status/1286225413891473408 …,,,,,,,
"What kind of nonsense is this? 
Utter mockery of our profession.  After my #BBMP experience I started thinking dt this country does nt deserve hard working doctors. Evryday, I keep learning dt I ws right. 
Useless govt. and horrible ""leadership"". 
This is like a slap on our faces  https://twitter.com/DrDeepakKrishn1/status/1286166302671769601 …",,,,,,,
Lately there has been sudden Chopping of trees in my street and the service was very much poor by #BBMP they cut several internet wires which is causing a lot of problem during this lockdown this ain't the first time happening it's causing prob for all IT people. #bbmp #Solution pic.twitter.com/JW6ELr4Xei,,,,,,,
Dear Mansoor #BBMP elections are in the #radar of political parties and each one wants to connect base with voters.  It's alright if they check your temperature etc entering homes. a task that @BBMP_MAYOR should have been doing. They are exposing the laxity of the system,,,,,,,
I wish #BBMP could cancel the #buslane and make it #bike lane so that all the headaches reduce,,,,,,,
"Ha Ha @CMofKarnataka talks. But when some one is +ve in Mahadevpura Zone and #BBMP never comes to declare the Containment zone, even after repeated requests.  #BBMP guys seem to have given up. When you talk to them, they are fatalistic. No enthusiasm at all. @BBMPCOMM https://twitter.com/KiranParashar21/status/1285545275008770049 …",,,,,,,
"Please don't share this video with #bbmp folks...
They will say, #Bengaluru has world class roads.... 🙏 🙏 🙏 🙏 🙏",,,,,,,
"Heartfelt thanks to @CMofKarnataka for addressing & acknowledging contribution of #CoronaWarriors over Video Conference
@Captain_Mani72 @munishmody @MALAVIKAAVINASH @ShouryArya @grovervj @Tejasvi_Surya
21-07-2020,The helpline number for Rajarajeshwari Nagar is wrong.",,,,,,,
,,,,,,,
,,,,,,,
"Nice to know that Mr George 👍
But we hope the #BBMP have enough precautions in place and most of all have sanitation and disposal of Medical wastes taken care of ? 
Hope the area around it doesn't turn into a garbage dumping ground.",,,,,,,
"Congratulations to the new Commissioner of #BBMP - it was great interacting with him at BBMP East Zone War Room 
His swift action led to availability of ~150 beds from tomorrow morning in 2 hospitals. 
@Randeep_Dev #ManojMeenaIAS
@Karnataka_DIPR @grovervj @mla_sudhakar @BSYBJP pic.twitter.com/BcXAgz5kAs",,,,,,,
"#COVID__19  reason behind #KarnatakaCovidHorror #BjpKarnataka #BJP #BSYeddyurappa #BBMP #BBMPFightsCovid19  Just give their phone number, and put them behind bars 😡😡 pic.twitter.com/cgbQ7mujvB",,,,,,,
@CMofKarnataka #PMModi #BBMP #karnataka pic.twitter.com/786EU8CTVh,,,,,,,
"@BSYBJP @BBMPCOMM The commissioner and other senior officers suggested an extension of lockdown to control the spread of virus and suddenly he gets transferred!
Any special reason or else typical clearing the path way of indian politics?
Just asking!
18-0", could you please confirm is the below link which provides the list of hospitals and respective Covid+ bed vacancy details is official?,,,,,,
,,,,,,,
" then it�""",,,,,,,
"#BBMP Commissioner @BBMPCOMM Anil Kumar Transfer.. #ManjunathPrasad take charge as #BBMP Commissioner.. 
This is old photo.. Now time to change.. #Covid19Karnataka #corona pic.twitter.com/dyURCySaLJ",,,,,,,
"#GKVK ಕೋವಿಡ್ ಕೇಂದ್ರದಲ್ಲಿದ್ದೇನೆ
 ಮನೆಯಲ್ಲಿಯೇ ಇರಿ ಸುರಕ್ಷಿತವಾಗಿರಿ 💖
17-07-2020,#pourakarmikas are performing duty", exposing themselves to life risk admist of #COVID19 pandemic.,,,,,,
,,,,,,,
Is ths absolute necessity to dig a good road to lay pipe amidst Corona Virus Lockdown on Parapanna Agrahara main rd @BBMPCOMM @BBMP_MAYOR @chairmanbwssb @PMOIndia @CMofKarnataka @MORTHIndia . Does lockdown not applicable for #Contractors #BBMP #BWSSB @BlrCityPolice @pagraharaps? pic.twitter.com/TKa5xNIMhd – at GK Jewel City,,,,,,,
"BBMP initiative to fight against Covid.
@FoundersCube @finmatrixSC https://twitter.com/TOIBengaluru/status/1284027391531053057 … – at Founders Cube Cowork and Incubation Centre",,,,,,,
#JustIn: #BBMP bats for extension of #lockdown in #Bengaluru by another one week. Both @BBMP_MAYOR & @BBMPCOMM appeal to @CMofKarnataka on extension.@BSYBJP to take a call. @DeccanHerald #COVID19,,,,,,,
Civic workers in different parts of #Bengaluru stood in silence to pay tribute to their 30-yr-old colleague who died of #COVID19 on Wednesday. @DeccanHerald @BBMPCOMM @PMOIndia #Pourakarmika #BBMP #CoronaWarriors pic.twitter.com/lL5Qx0DzJx,,,,,,,
Aahwahan foundation small gesture towards our #frontlineworkers #BBMP #BBMPFightsCovid19 #Realheroes #FightagainstCoronavirus https://twitter.com/Aahwahan_NGO/status/1283722551840010240 …,,,,,,,
"#BBMPFightsCovid19
Sending warrior's to battle field without minimum equipment's
4 casualties today in Bangalore 😠",,,,,,,
"Your last line, shows the mirror to reality...
I strongly believe they are creating artificial hurdles to people...
My relatives had to bribe #bbmp officials to get the dead body from St John's Hospital...
That's the world we live in...",,,,,,,
"A #CoronaWarrior who was an employee of #BBMP succumbed after repeated pleading for help...
If this is the fate of #BBMP employee just imagine the situation of common people who will not have access to VVIPS...
SOURCE : @suvarnanewstv at 8 AM",,,,,,,
"Call for public to find #innovative ways to #fightagainstcovid19.
Our #startups conducted 150 #antibodytest to #Police & #BBMP officials from Mahadevapura. It was a confidence rebuilding excercise for the front end #CovidWarriors. @BBMP_MAYOR @BBMPCOMM @MtfRoads @BLRSmartCity pic.twitter.com/NYwiVaQDNa – at Founders Cube Cowork and Incubation Centre",,,,,,,
@deepolice12 @BBMPCOMM why no response??? There is no lockdown in Bangalore. All industries across Bangalore are functioning normally.#Covid19Karnataka #BengaluruLockdown #BBMP  https://twitter.com/lyroj/status/1283248771015401472 … – at Industrial E,,,,,,,
"Today @FoundersCube conducted 150 rapid Covid test for Mahadevapura police & BBMP officials. It was a joint effort of @FoundersCube #startup community, #BBMP & Mahadevapura Police. A confidence building effort to our front end warriors. All are recharged to #FightAgainstCOVID19  https://twitter.com/deepolice12/status/1283018606524039168 … pic.twitter.com/Q5StOP58RE – at Founders Cube Cowork and Incubation Centre",,,,,,,
"Everyone deserves to be treated and checked. Hospitals cannot refuse to admit/treat the covid patients across the city and the state.
 
15-07-2020,Dear Sir", Could you please clarify on entry of domestic help in societies? BBMP guidelines are not clear on this topic. With societies following sanitation and social distancing protocols," maids should be allowed to enter and support while people in services sector WFH. #BBMP""",,,,,
#Salute the Spirit of #Young #Medics raring to work in #CCC. Impressive turn out to Dr Anbu's effort as several hired by #BBMP.Excellent coverage @AyeshaKhanumAK of recruitment drive of @BBMPCOMM which saw a great response.@Suriyamanoher_S @abdulelite1 https://youtu.be/-Rv-UmdRhpw ,,,,,,,
"Chronology :
-Waiting for @BBMPCOMM to apologize.
Followed by photo ops.
-Statement saying that, this will not repeat again in #Bengaluru
-Social media going gaga over #bbmp and the top guy...
~
Now we know, we have been taken on a ride   w/o 🚑 during #COVID https://twitter.com/TOIBengaluru/status/1283201270631682048 …",,,,,,,
"@BJP4India
My humble request to our government.. 
Please stop manufacturing of paan masala and other tobacco's and to sell these in the market This is leading in increasing of covid cases i",,,,,,,
#BBMP started fixing #Kasavanahalli road as informed.They will asphalt subsequently but is good corrective action & needs to be avoided in future.Contractor acknowledged & hope will make it right this time.Thx to @ArvindLBJP & all.#FixAccountability is key to avoid this in future pic.twitter.com/jwlRHIIeTN – at Amruta Grand Restaurant,,,,,,,
"Missed opportunity for the corrupt #bbmp
😂 😂 😂 😂 😂 😂 😂  https://twitter.com/TOIBengaluru/status/1282816132542431232 …",,,,,,,
Please please please.make.use of this. The entire #bbmp team is working hard for our benefit. #BengaluruFightsCovid https://twitter.com/BBMPCOMM/status/1282714883029491713 …,,,,,,,
"While our SWM warriors continue work in these tough times,its true that due to lack of SWM contractors accountability from #BBMP in #Bellandur ward150,dumping/garbage burns continue unabated.All follow-ups with all offciials,leaders yeilding no results.
@ArvindLBJP help pls! pic.twitter.com/ezt5DJyikM – at Fresh Mart",,,,,,,
It's not a leak. #BBMP did this intentionally to avoid responsibility of treating leachate. Now the ground is polluted due to this. What's the penalty for this lapse? What happened to Ward level composting? Bangalore's garbage can't be treated here risking people's lives. Period.,,,,,,,
"Just like I thought, #bbmp will  solve all civic issues of #Bengaluru..
ಸುಮ್ನೆ build up, ಅಷ್ಟೇ....
I'm not intelligent.. 🤓",,,,,,,
"Are you serious? May be because you are the top cop, you might not get the bad news... Please sir, people are dying without getting admission into hospital and my relatives had to bribe #bbmp officials to get a non covid dead body... 🙏 🙏 🙏 🙏
@smileandshine20",,,,,,,
#BBMPFightsCovid19 #BBMP #Bangalorelockdown #bangaloremirror @BangaloreMirror @BBMP_MAYOR @BBMPSWMSplComm @BBMPCOMM @CovidKarnataka @CMofKarnataka https://twitter.com/iarpita04/status/1280481506981326853 …,,,,,,,
"The kind of complaints and news we are getting across Bangalore is concerning, #BBMPFightsCovid19 #BBMP #Bangalore #Karnataka #KarnatakaFightsCorona https://twitter.com/BangaloreMirror/status/1281453137010794497 …",,,,,,,
"#BBMP bangalore is totally disconnected from real #covid situation from reality, they only claim tall things on social media, ground reality big failure.",,,,,,,
"Must Read - What to do if you test Positive for #COVID in #Bengaluru?
 https://bit.ly/2VYNFQl 
08-07-2020,Bengaluru", take a train to board a plane !!,,,,,,
,,,,,,,
"Sorry, it's incomplete....
Apology photo op by #bbmp isn't factored into the flow chart!",,,,,,,
"BENGALURU ❤️
.
.
.
07-07-2020,Half of all roads are dug up and there’s complete chaos. Even if I want to give way to an ambulance there’s no space on the left to veer to. I urge you to come & have a look at the disaster in Thanissandra main road #BBMP
07-07-2020,#ThatMomentWhen #bbmp controls who gets the  hospital 🏥 bed during #COVID crisis in #Bengaluru https://twitter.com/NetflixIndia/status/1279777951806976000 …
07-07-2020,Here is the Covid flow chart",  where the flow of actions are given if you are not well.,,,,,,
"It is difficult to keep the surroundings clean with cleaning dept people not showing up @bbmpcommr @bangaloretimes @BangaloreMirror , in this pandemic we don't want anything more to spread . Please help #BBMP  https://twitter.com/Strange66576219/status/1280175536870789120 …",,,,,,,
#BBMP  we appreciate the work of keeping the city clean and organized with various services.But since last few days garbage collector has not been showing up in  btm 2nd stage.  @BBMPSWMJtComm @bbmpcommr please help us keep the surroundings clean pic.twitter.com/IN6W93iS6Q,,,,,,,
#BBMP #SwachhBharat #NarendraModi #TimesofIndia Save lakes in Bangalore. Pictures of Ulsoor lake..Please join hands to clean pic.twitter.com/J59aHTXLhn – at Ulsoor Lake,,,,,,,
"ಕ್ಷಮಯಾಧರಿತ್ರಿ 🙏
04-07-2020,@BBMPCOMM Appreciate the gesture but postmortem doesn’t help. Proactive action does. Hope BBMP goes all out to save lives. #KarnatakaCovidHorror #Bangalore #BBMP  https://twitter.com/BBMPCOMM/status/1279338338894245889 …
04-07-2020,How can these fucking people make money out of #COVID19karnataka situation. Where has the money gone.. #300crs in the pocket of #BBMP officials against sanitation expenses..  @mla_sudhakar @RAshokaBJP how much have u guys made?",,,,,,,
,,,,,,,
#goodjob #BBMP #BBMPFightsCovid19 https://twitter.com/BBMPCOMM/status/1278287590966218752 …,,,,,,,
"@BBMPCOMM there is no social distancing,  their nose is exposed,  how is this okay #BBMP",,,,,,,
"Few families decided to close the road by themselves, so vehicles wouldn't come inside or outside people cannot come into this road, in fear of corona. This is Sahakar Nagar, A block, near Brahmins Kitchen
01-07-2020,See the amount of fire tht has spread #BBMP @BBMPCOMM @BangaloreMirror @BangaloreTimes1 pic.twitter.com/BHOsBRRSBO
01-07-2020,#bbmp Sahakar Nagar", A block, 21st/22nd lane blocked by residents, not allowing passage of vehicles and pedestrians,,,,
Extended my selfless wholehearted #voluntary #support for Bruhat #Bengaluru Mahanagara Palike ( #BBMP ) as the #Citizen #Quarantine #Squad #Volunteer for #Bangalore and our #karnataka as…  https://www.instagram.com/p/CCFu3CiB42Mah63tB3gmBSHGJFbGqPO-vL-yDU0/?igshid=pp10qoz0u6j …,,,,,,,
"My selfless #support for Bruhat #Bengaluru Mahanagara Palike ( #BBMP ) as the #Citizen #Quarantine #Squad #Volunteer for #Bangalore and our #Karnataka as a #Bangalorean
@BBMPCOMM
@CMofKarnataka
@deepolice12
@CPBlr pic.twitter.com/GiNVzk4jHK",,,,,,,
"@Randeep_Dev @BBMPSWMSplComm @mla_sudhakar @sriramulubjp @nimmasuresh @MoHUA_India @BBMPCOMM @Karnataka_DIPR @DHFWKA #BBMP inaction is appparent in #Bellandur Ward150!
@ArvindLBJP @PCMohanMP @CMofKarnataka @Dkhallirising @WFRising @WeAreBangalore @Joshi_A",,,,,,,
"Good efforts.
Since #lake is rejuvenated,
It's time #BBMP, be open to #biodiversity friendly  Lake structures.
 https://twitter.com/BangaloreMirror/status/1208665980823580673?s=19 … pic.twitter.com/cEbQtPtReb",,,," in fear of #Corona""",,,
"ಯಲಹಂಕ ಉಪನಗರದಲ್ಲಿ ನಿರ್ಮಾಣವಾಗಿರುವ ಮೇಲ್ಸೇತುವೆಗೆ 'ವೀರ ಸಾವರ್ಕರ್' ಹೆಸರಿಡಲು ಬಿಬಿಎಂಪಿ ಸಭೆಯಲ್ಲಿ ಅನುಮೋಧನೆ ಸಿಕ್ಕಿದೆ.
30-06-2020,Even in this pendemic", just because you're not from karnataka, discrimination is at it's peak. ,,,,,
,,,,,,,
 going one way is fine but even with face covered helment not wearing mask you're a criminal.,,,,,,,
,,,,,,,
"Dear @Captain_Mani72 ~ is there we can give less pravachanS and ensure the patients are treated with respect and dignity...
I'm sorry to tag you, but none from #bbmp have the courtesy to engage w/ common people... 🙏 🙏 🙏
@smileandshine20 https://twitter.com/TOIBengaluru/status/1277742410609463296 …",,,,,,,
"The 🛵 drivers who haven't worn masks, as drive on the wrong side as part of the reflex reaction to flee from these #bbmp guys 
I narrowly missed an incident... 
This is extremely hazardous...
Please, don't create more problems for us.. 🙏 🙏 🙏
@BBMPCOMM @CPBlr",,,,,,,
"#bbmp guys catching folks w/o mask... I took this pic.. Was warned by @BlrCityPolice team not to click pic... What's going on...
50 feet road, Srinagara at 7 : 48 PM... pic.twitter.com/Isoti7Wi0N – at Matrusagar",,,,,,,
@BGUdayBJP @ChandrappaManoj please come and inspect your hard work is going to be wasted the newly constructed road (crack formation) and the pipeline is blocked and it's stinking in this beautiful area. 🙏 please take some action at the earliest. #bwss,,,,,,,
Strict warning by @DHFWKA to all the 75 private & public labs in #Karnataka not to reveal the #Covid19 results directly to patients/relatives/public & instead upload the details onto the ICMR portal. deviation leads to derecognition by #BBMP in #Bengaluru. pic.twitter.com/tR24c176ER,,,,,,,
"ನಾಡಪ್ರಭು ಬೆಂದಕಾಳೂರು ಒಡೆಯ ಹಿರಿಯ
ಕೆಂಪೇಗೌಡ ಜಯಂತಿಯ ಶುಭಾಶಯಗಳು.
Let's Celebrate this #KempeGowdaJayanti with a pledge to #SustainableLiving.
Hope @CMofKarnataka will start #BBMP reforms for realisation of the #Bengaluru vision by the great Sh.#Kempegowda.
27-06-2020,I beg to disagree sir! The #bbmp park which I used to visit at 5 AM isn't crowded", now that they have closed it people are 🚶 /🏃🏿 on the streets posing danger to themselves and vehicle users..,,,,,,
" damage is done w/ stupid rules in part few months..""",,,,,,,
"Ozone MC say its not them but society opposite which hasnt been fixed inspite of complaining to #BBMP.@MtfRoads,fix admin first!
1. Check silt left & its a nuisance to public?
2.Look  https://youtu.be/2f9XJch0TmQ , Kasavanahalli mnrd,compaction when asked was told to mind our business! pic.twitter.com/WWZfGodneg – at Bay 6 Engineering",,,,,,,
@BBMPSWMSplComm #BBMP please look into this matter seriously  https://twitter.com/iSankha007/status/1276348941886320646 …,,,,,,,
What can I do if the garbage collection van in my locality Bangalore will only collect garbage manually handed over to them? They don't pick up trash bags from the street. It is not possible for me quit work and wait at home #BBMP use some brain  https://www.quora.com/What-can-I-do-if-the-garbage-collection-van-in-my-locality-in-Bangalore-will-only-collect-garbage-manually-handed-over-to-them-They-dont-pick-up-trash-bags-from-the-street-It-is-not-possible-for-me-quit-work-and/answer/Albert-Joseph-50?ch=2&share=47e3a29a&srid=xouW …,,,,,,,
"We are checking with Ozone evergreens.If so,this is not good & we do hope & request not just them but all RWAs to avoid such actions. At same time insist authorities to fix roads with responsibility & as per contracts.The accountability on #BBMP side isn't fixed yet!  https://twitter.com/MtfRoads/status/1276180983599906816 …",,,,,,,
"Mysore road.....😒😒
I think BBMP is most corrupted municipal corporation in India....😤
& The govt, nthg much to say about it we all know wt Govt's job is....🤦🏻‍♂️
25-06-2020,#Bengaluru ~ the only place where #bbmp parks are dangerous to 🏃🏿 🏃🏿 🏃🏿 🏃🏿",,,,,,,
" the roads are safe... 🙏 🙏 🙏 🙏""",,,,,,,
"Next time any #BBMP corporators or ministers seen, just take them to swimming pools in Bangalore roads😬😤
No improvement in Bangalore with everywhere road digged for some or other reason😣n nobody to fill it back🤨
@BBMPCOMM @BBMP_MAYOR @nimmasuresh @CMofKarnataka @drashwathcn",,,,,,,
"🌡️ List of private fever clinics in #Bengaluru.
🤒
24-06-2020,Around 50 stray dogs in our area", kogilu layout," daily growling in the night. Might be bitten many too. #Bengaluru #yelahanka #straydogs #growling #terror #aninews #NDTVExclusive #BBMP""",,,,,
"@Karnataka_DIPR Sir, A few suggestions:
1. Enforce SD & use of mask.
2. #Covid19 safety audit of small shops.
3. Cleanliness drive by #BBMP.
4. More testing.
5. Early treatment in govt facilities.
6. Celebrations after 0 case.
Thx.
@CMofKarnataka @PMOIn",,,,,,,
"In Hongasandra Bangalore extremely load Mic voice Vegitable people are roaming everyday. 
23-06-2020,According to the recent research article published in Lancet", the #coronavirus has a length of about 2.7 inches, meaning it won't get inhaled if we wear mask where portion of nostrils gets exposed...,,,,,
,,,,,,,
"Dear clowns of #BBMP
Repeat Q...
Are we allowed into #bbmp parks?
If yes, from what time?
I'm told 6 AM, My Q, there are hardly 5 to 10 folks around 5 AM,is #CoronavirusOutbreak more dangerous at 5?
@BBMPCOMM @BBMP_MAYOR @Karnataka_DIPR",,,,,,,
"From morning 11am no power in Jo nagar 7th phase area.....how people will work from home...
It's maintenance or torture???😡😡😡",,,,,,,
